player_id,playstyle,playtime_hours,sessions_per_week,avg_session_length,achievements_unlocked,difficulty_level,combat_style,win_rate,pvp_matches,death_count,engagement_score,skill_level,churn_risk,last_login_days_ago,premium_user,kd_ratio,play_intensity,commitment_score,pvp_experience,achievement_rate,combat_style_encoded,churn_risk_encoded
P00001,Casual,33.5343778014818,2.0,1.7232330337601105,23.0,6,Melee,0.3913994692431368,31.0,81.0,0.344646606752022,53.6803987458164,Medium,6,0,0.38271604938271603,3.7260419779424225,41.56031334044454,3.4657359027997265,0.6660030226174544,2,2
P00002,Explorer,122.20646199398642,4.396025690310789,5.751396036691344,68.0,5,Ranged,0.4111918978220156,66.0,348.0,2.52832847324468,47.534679595264535,Low,5,0,0.1896551724137931,6.575860215799389,114.62219550130382,4.204692619390966,0.5519191031012562,3,1
P00003,Casual,17.007719481103422,1.0,1.6574889886952988,18.0,3,Magic,0.7070793339963711,32.0,88.0,0.1657488988695298,52.97460697864432,High,5,0,0.36363636363636365,3.4015438962206845,24.102315844331027,3.4965075614664802,0.9995713237808085,1,0
P00004,Casual,113.740357308968,5.0,1.3514728186689462,24.0,4,Magic,0.6767841905081348,90.0,75.0,0.6757364093344731,53.083601532284135,Low,6,0,1.2,5.416207490903238,96.12210719269041,4.51085950651685,0.2091679036293552,1,1
P00005,Competitive,256.5304461852346,16.572564479315858,6.057793200324665,90.0,9,Ranged,0.7961677315953668,392.0,319.0,10.039316841474168,80.01004950803879,Low,5,1,1.2288401253918495,3.8122969672764664,287.684778648729,5.973809611869261,0.3494732422249813,3,1
P00006,Casual,15.27832864167976,6.0,1.5481841679528212,10.0,8,Ranged,0.3482131697991719,24.0,85.0,0.9289105007716928,62.21322990994261,Medium,7,1,0.2823529411764706,0.6111331456671905,69.58349859250393,3.2188758248682006,0.6143136817127253,3,2
P00007,Casual,71.76806498233078,5.0,0.8733973661310103,17.0,4,Magic,0.3073344990611727,40.0,66.0,0.4366986830655051,35.03032593550346,Low,8,0,0.6060606060606061,3.4175269039205136,80.03041949469923,3.713572066704308,0.2336189646396103,1,1
P00008,Strategic,152.23392786619306,8.524499035974413,2.674717661461141,101.0,10,Ranged,0.7442097565792326,100.0,113.0,2.280062812662924,81.13934489300672,Low,8,1,0.8849557522123894,4.337396563668531,181.41516871960204,4.61512051684126,0.6591229592978601,3,1
P00009,Casual,23.878298179924663,5.0,1.772921579853315,17.0,2,Melee,0.4999163122613998,38.0,74.0,0.8864607899266574,42.88684842119356,Medium,8,0,0.5135135135135135,1.1370618180916505,65.6634894539774,3.6635616461296463,0.6833264830678012,2,2
P00010,Casual,25.6799912204971,8.0,1.956712408554533,23.0,6,Melee,0.2840130204432196,35.0,82.0,1.5653699268436267,61.23466185690354,Medium,3,1,0.4268292682926829,0.7781815521362758,99.20399736614912,3.58351893845611,0.8620692491956324,2,2
