player_id,playstyle,playtime_hours,sessions_per_week,avg_session_length,achievements_unlocked,difficulty_level,combat_style,win_rate,pvp_matches,death_count,engagement_score,skill_level,churn_risk,last_login_days_ago,premium_user
P00001,Aggressive,134.90142459033697,9.723471397657631,4.1476885381006925,82.0,6.648769937914996,Melee,0.526586304305082,278.0,361.0,4.032993086661447,59.573164904829085,Low,21,0
P00002,Strategic,153.1932724886282,7.680966996685851,4.52666619193438,66.0,7.468182589781772,Ranged,0.640601959858292,158.0,141.0,3.4769173625261596,69.37101094182347,Low,11,0
P00003,Competitive,353.56928186226753,16.182699065638804,4.122219165222679,74.0,8.51979691991527,Hybrid,0.7757951856837311,429.0,292.0,6.670863223340743,81.38874388376291,Low,14,0
P00004,Aggressive,148.46528573157048,13.161701172078052,3.1318290586564586,65.0,5.210262655766361,Melee,0.5090948098276069,177.0,421.0,4.122019819206681,51.50605377021215,Low,21,0
P00005,Competitive,120.30883706609417,15.59058370760737,4.738466579995411,88.0,8.907481374089407,Hybrid,0.6759117043528569,252.0,285.0,7.3875459861118475,78.33299208808988,Low,20,0
P00006,Competitive,227.64897800891825,15.257770414892443,2.4900427177833913,99.0,8.325264061312572,Melee,0.6589339675682266,395.0,,3.7992500111213805,74.57301868497419,Low,0,0
P00007,Casual,48.73184192069559,5.331622689390036,1.9471661650543808,27.0,3.7928341098954257,Melee,0.3751827126018048,7.0,112.0,1.038155530561652,37.72330617956737,Medium,15,1
P00008,Strategic,208.7576514172957,5.752203330919927,5.640006474608616,109.0,8.457885077000014,Magic,0.5152570097307295,163.0,175.0,3.2442464029653637,68.05227587153655,Low,2,0
P00009,Strategic,164.45582422033655,11.076073132931938,4.457008753068058,106.0,5.380254895910255,Ranged,0.715752200350018,153.0,165.0,4.936615490309959,62.68888449705217,Low,19,1
P00010,Aggressive,173.82842529025757,11.161379083460051,3.797650448508347,44.0,4.872105305476663,Melee,0.5690336984965167,206.0,348.0,4.238701628227375,52.812211452209155,Low,18,0
P00011,Casual,47.52172497287208,5.737279979398042,1.6285584350281397,23.0,5.371862133549777,Stealth,0.47106639527457994,25.0,100.0,0.9343495704566752,50.41263043147788,Medium,0,0
P00012,Aggressive,145.49763612187047,7.377351548497781,2.6296950454389263,52.0,5.035073969181289,Ranged,0.8443663416481284,145.0,373.0,1.9400184815545805,67.39368692831286,Low,23,0
P00013,Explorer,171.93571441669954,9.808101713629076,7.829278851815795,94.0,6.386325586084147,Melee,0.4925554084233833,22.0,198.0,7.679036332297438,56.5593983515899,Low,16,0
P00014,Competitive,196.13731695194198,16.034707005134187,3.919912664647511,80.0,10.0,Ranged,0.7852634966839444,150.0,483.0,6.285465106333767,89.9972367833569,Low,5,0
P00015,Strategic,180.69187354825615,5.700414845011283,3.569596672851667,90.0,7.1981721566503065,Magic,0.7607212575146143,206.0,249.0,2.0348181864626524,74.02692365898224,Low,10,0
P00016,Strategic,170.49694929486412,9.086977382484871,4.533719356017842,51.0,8.789672804750673,Stealth,0.6845191570610434,106.0,145.0,4.119780524666801,78.17432187680554,Low,25,1
P00017,Strategic,87.9734627573547,8.137125949612054,3.225235543528674,84.0,7.080575765766197,Stealth,0.7739947524014031,118.0,163.0,2.624414783485831,74.10261644890114,Low,22,0
P00018,Explorer,273.615955866036,9.792747880128884,4.0615755571506025,76.0,6.019550849649827,Magic,0.5377769591973092,81.0,230.0,3.977398542726985,56.98660220811459,Low,26,0
P00019,Casual,30.9790413164241,2.730078464702805,1.9080763614406853,24.0,3.71451069901367,Ranged,0.577835096261514,42.0,133.0,0.52091981833777,47.46430830814405,Medium,15,0
P00020,Aggressive,128.79217419896042,8.571297163947264,5.365774511144757,67.0,5.2130447541960265,Ranged,0.615655360863383,151.0,362.0,4.5991647849755575,56.84799181414928,Low,20,0
