player_id,playstyle,playtime_hours,sessions_per_week,avg_session_length,achievements_unlocked,difficulty_level,combat_style,win_rate,pvp_matches,death_count,engagement_score,skill_level,churn_risk,last_login_days_ago,premium_user
P04829,Competitive,89.9145152705663,15.585040707703403,5.174999487083735,99.0,9,Magic,0.7213979473707406,307.0,344.0,8.065257766854424,77.47748426076167,Low,11,0
P01130,Casual,59.168367128960725,3.0,2.8299300782578056,22.0,6,Melee,0.4764790413232119,24.0,78.0,0.8489790234773416,73.50235265121191,Low,2,0
P06129,Aggressive,78.89809075554516,12.87748526540779,3.055041604164768,63.0,3,Hybrid,0.8373712969906137,206.0,279.0,3.934125324283958,45.96839887920638,Low,7,1
P02442,Casual,17.993019972795793,4.0,0.9635347610714677,28.0,4,Hybrid,0.8722600290575211,24.0,89.0,0.38541390442858714,65.11193150983658,Medium,5,0
P07103,Competitive,170.4165986952072,14.630999968557928,2.90446300147553,58.0,9,Melee,0.5956562171704776,472.0,310.0,4.249519808326614,65.68020904654415,Low,10,1
P06158,Casual,73.86560792452335,3.0,1.3471495757226997,20.0,4,Hybrid,0.23500741314337284,25.0,81.0,0.4041448727168099,42.62992562601741,Low,12,0
P06023,Competitive,134.18579501971956,10.811048348135028,6.19176371369398,135.0,8,Ranged,0.7046122377618861,336.0,485.0,6.69394568689737,93.20324157733587,Low,5,0
P02496,Strategic,84.1864991581808,6.114306161006416,6.960127436540018,76.0,10,Ranged,0.7239504600783205,143.0,220.0,4.255635006662643,76.02766589392205,Low,7,0
P05130,Strategic,106.14871825794143,7.052999003132221,5.305078108659053,67.0,6,Magic,0.49853660923526705,151.0,165.0,3.741671061191087,65.3836549491918,Low,4,1
P02406,Casual,37.20346983416476,7.0,1.3374192998674814,13.0,1,Hybrid,0.05,29.0,80.0,0.936193509907237,7.043570105923269,Medium,9,1
P02273,Competitive,63.44377310798636,4.9008398612613036,1.936921432841951,169.0,10,Melee,0.5060111219744855,366.0,298.0,0.9492541766203192,93.12683187696418,Low,8,1
P01916,Casual,50.0336389988932,4.0,1.0983002202435432,26.0,3,Stealth,0.24123709785647449,19.0,88.0,0.4393200880974173,28.16678547947464,Medium,7,0
P05803,Strategic,120.83736450877038,9.205922153456541,4.565954840893635,86.0,9,Magic,0.5839295382110549,276.0,100.0,4.203382482146486,71.34994589253974,Low,3,1
